away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
8654,10194,806,824,864,883,2,1,3,2,3,3,2,2,2,2,2,2,1,1,2,1,3,2,2,1,2,1,1
8315,9869,809,812,846,859,3,1,2,2,2,2,3,2,3,2,2,2,1,2,2,2,3,2,2,1,2,2,1
9865,8558,789,772,863,873,2,1,2,2,3,2,3,2,3,3,2,2,1,2,2,2,2,3,2,3,3,1,2
8633,8560,763,906,835,971,2,1,1,1,2,2,3,2,2,1,2,2,1,1,1,3,2,3,1,2,3,2,3
8371,8661,774,809,856,863,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,1,1,3,2,2
8650,10260,901,889,953,942,3,1,2,2,2,3,2,1,2,3,2,2,1,2,2,2,2,3,2,2,3,2,2
8456,8528,790,877,874,943,3,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,3,2,2,3,2,3
8483,8455,885,725,947,814,3,1,2,1,2,3,3,1,1,3,2,3,1,3,2,3,3,2,2,3,2,3,2
8634,9906,839,934,908,977,2,1,1,1,2,2,3,1,3,3,2,2,1,1,1,2,2,3,1,3,1,3,3
10267,10278,779,854,835,915,2,1,1,2,2,2,3,2,2,3,2,1,1,1,1,2,2,3,2,2,3,2,3
8394,8696,805,799,859,883,2,1,2,2,3,3,2,1,2,3,2,1,1,1,1,2,2,3,2,2,1,2,2
8302,9864,783,851,837,918,2,1,2,2,2,2,3,2,2,3,2,1,1,1,1,3,2,3,1,2,2,2,3
10205,8581,764,857,834,914,1,1,1,2,2,2,3,2,1,3,2,2,1,1,1,2,2,3,1,2,1,3,3
8305,9783,811,805,885,884,1,1,1,2,1,2,2,2,2,3,2,1,1,2,2,2,2,3,1,2,1,2,1
8661,8315,801,777,875,854,2,1,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,1,2,3,2,2
8558,8633,903,776,968,852,2,1,1,1,3,2,3,1,2,3,2,2,1,2,2,3,2,3,2,3,3,2,2
8560,8371,809,752,874,817,2,1,2,2,2,2,2,1,1,3,2,2,1,1,1,2,2,3,2,2,1,2,2
9869,8634,892,790,964,837,2,1,1,1,2,2,3,1,3,1,3,3,1,2,2,2,2,3,2,3,2,2,2
9906,10267,843,845,910,902,1,1,1,1,2,2,3,2,2,3,2,2,1,1,1,2,2,3,1,3,3,2,1
10278,8394,817.8481077,819.5939669,868.4805294,868.0962077,1,1,1,1,2,2,3,2,2,1,2,2,1,1,2,2,2,3,2,2,3,2,1
8581,9865,801,770,872,840,2,1,2,2,2,2,3,2,3,3,1,1,1,1,2,2,2,3,2,1,3,2,3
8696,8302,847,809,912,882,1,1,1,1,3,2,3,1,2,2,2,2,1,2,2,3,3,2,1,2,3,2,1
9864,8305,817,772,883,848,1,1,2,2,2,2,3,1,2,1,2,2,1,2,2,2,2,3,2,2,3,2,3
9783,10205,851,799,914,857,2,1,1,1,2,2,3,1,2,1,3,1,1,1,2,1,2,2,2,2,3,2,2
8659,9825,865,777,942,845,2,1,1,1,1,2,2,1,1,3,2,2,1,2,2,3,3,2,2,3,2,3,3
8472,8650,879,799,946,884,2,1,2,2,2,2,3,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,1
8586,8654,813,872,874,940,2,1,1,2,1,3,2,2,1,2,1,3,1,2,2,2,2,2,2,2,3,2,2
8455,8456,872,917,944,963,3,1,2,2,2,3,3,2,2,3,2,3,1,2,1,2,3,3,1,1,3,2,2
8668,9879,830,860,884,910,2,1,3,2,3,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,2,2,1
8528,8658,840,795,890,867,3,1,3,2,3,3,3,2,3,2,3,3,1,3,2,3,3,2,2,2,2,2,1
8655,8483,739,810,802,868,3,1,3,2,3,3,2,2,3,2,3,2,1,3,2,2,3,2,2,2,2,2,3
8634,8315,814,925,868,970,2,1,2,2,2,3,2,2,1,2,2,2,1,1,1,2,2,3,1,3,1,3,3
10267,9869,805,852,845,904,3,1,2,2,2,2,3,2,3,2,2,1,1,1,1,2,2,3,2,2,3,2,3
8633,8581,817.8481077,902,868.4805294,964,1,1,1,2,2,2,3,2,1,3,2,2,1,1,1,3,2,3,1,2,3,2,1
10194,10261,786,791,872,843,3,1,2,2,2,3,2,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,3
10252,8602,762,869,826,918,3,1,3,2,3,3,3,2,3,2,3,3,1,2,2,2,3,2,1,1,2,1,3
10260,8559,817.8481077,925,868.4805294,958,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,2,3,2,1
8394,9906,837,819.5939669,907,868.0962077,2,1,1,1,2,2,3,1,3,3,2,1,1,1,1,2,2,3,2,2,1,2,2
8302,10278,771,847,832,929,2,1,1,2,2,2,3,2,2,3,2,1,1,1,1,3,2,3,1,2,2,2,2
8305,8696,790,819.5939669,851,872,2,1,2,2,3,3,2,1,2,3,2,1,1,2,2,2,2,3,1,2,1,2,3
9865,9783,812,782,897,868,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,2,3,3,1,3
8371,8558,785,809,868.4805294,853,2,1,2,2,3,2,3,2,3,3,2,2,1,2,2,2,2,2,1,1,3,2,2
8560,8661,817.8481077,759,868.4805294,821,2,1,2,2,2,2,2,1,2,3,2,2,1,1,1,2,2,3,2,2,1,2,2
10205,9864,764,857,850,914,2,1,2,2,2,2,3,2,2,3,2,2,1,1,1,2,2,3,1,2,1,3,3
10260,8472,798,819.5939669,876,868.0962077,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,2,3,2,1
10252,8586,862,860,922,906,3,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,1,1,2,1,2
9879,8654,812,846,871,885,2,1,1,2,1,3,2,2,1,2,1,2,1,3,2,3,3,2,2,2,3,2,1
8668,8658,842,856,890,909,3,1,3,2,3,3,3,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,3
8559,8659,778,819.5939669,866,868.0962077,2,1,2,2,3,3,2,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,1
8655,10194,806,808,864,866,2,1,3,2,3,3,2,2,2,2,2,2,1,3,2,2,3,2,2,2,2,2,2
8602,8528,789,770,872,835,3,1,3,2,3,3,2,2,2,2,2,3,1,3,2,3,3,3,2,3,2,3,2
8315,10267,846,798,910,858,1,1,1,1,2,2,3,2,2,3,2,2,1,2,2,2,3,2,2,1,2,2,2
9869,8394,791,819.5939669,876,856,1,1,1,1,2,2,3,2,2,1,2,3,1,2,2,2,2,3,2,3,2,2,1
8558,8560,763,788,835,859,2,1,1,1,2,2,3,2,2,1,2,2,1,2,2,3,2,3,2,3,3,2,2
8483,8650,882,716,950,807,2,1,2,2,2,2,3,2,2,3,2,3,1,3,2,3,3,2,2,3,2,3,3
10261,8456,880,805,947,872,3,1,2,2,2,3,3,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
9825,8455,896,863,961,950,3,1,2,1,2,3,3,1,1,3,2,2,1,1,1,1,2,2,1,1,3,2,2
8661,8634,901,819.5939669,962,868.0962077,2,1,1,1,2,2,3,1,3,1,3,2,1,2,2,2,2,2,1,2,3,2,1
9906,8302,856,827,928,899,1,1,1,1,3,2,3,1,2,2,2,2,1,1,1,2,2,3,1,3,3,2,2
10278,8305,807,775,869,824,1,1,2,2,2,2,3,1,2,1,2,2,1,1,2,2,2,3,2,2,3,2,2
8696,10205,851,795,914,843,2,1,1,1,2,2,3,1,2,1,3,2,1,2,2,3,3,2,1,2,3,2,2
9864,9865,802,768,866,860,2,1,2,2,2,2,3,2,3,3,1,2,1,2,2,2,2,3,2,2,3,2,1
9783,8633,899,823,970,883,2,1,1,1,3,2,3,1,2,3,2,1,1,1,2,1,2,2,2,2,3,2,2
8581,8371,810,770,866,840,2,1,2,2,2,2,2,1,1,3,2,1,1,1,2,2,2,3,2,1,3,2,1
8659,10260,817.8481077,778,868.4805294,851,3,1,2,2,2,3,2,1,2,3,2,2,1,2,2,3,3,2,2,3,2,3,1
8658,9825,861,854,953,896,2,1,1,1,1,2,2,1,1,3,2,3,1,3,2,3,3,3,2,3,2,3,2
8455,10252,860,899,925,951,3,1,2,2,2,3,2,1,1,2,1,3,1,2,1,2,3,3,1,1,3,2,1
8528,10261,784,797,866,866,3,1,2,2,2,3,2,2,2,3,2,3,1,3,2,3,3,2,2,2,2,2,1
8654,8602,765,810,835,868,3,1,3,2,3,3,3,2,3,2,3,2,1,1,2,1,3,2,2,1,2,1,1
8586,9879,836,881,883,940,2,1,3,2,3,3,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,3
10194,8559,817.8481077,804,868.4805294,856,2,1,3,2,3,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2
10267,8634,909,854,971,909,2,1,1,1,2,2,3,1,3,1,3,1,1,1,1,2,2,3,2,2,3,2,2
8305,9906,834,819.5939669,916,872,2,1,1,1,2,2,3,1,3,3,2,1,1,2,2,2,2,3,1,2,1,2,2
8633,9864,779,910,847,967,2,1,2,2,2,2,3,2,2,3,2,2,1,1,1,3,2,3,1,2,3,2,3
8650,8668,843,896,904,941,2,1,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,2
8456,8483,742,870,812,935,3,1,3,2,3,3,2,2,3,2,3,3,1,2,2,2,3,3,2,2,3,2,3
8394,8315,808,777,864,852,2,1,2,2,2,3,2,2,1,2,2,1,1,1,1,2,2,3,2,2,1,2,2
8302,9869,803,867,847,917,3,1,2,2,2,2,3,2,3,2,2,1,1,1,1,3,2,3,1,2,2,2,2
9865,8696,803,780,861,864,2,1,2,2,3,3,2,1,2,3,2,2,1,2,2,2,2,3,2,3,3,1,2
8371,9783,797,817,871,861,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,2,2,2,1,1,3,2,1
8560,8581,766,779,838,849,1,1,1,2,2,2,3,2,1,3,2,2,1,1,1,2,2,3,2,2,1,2,2
8558,8661,817.8481077,787,868.4805294,861,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,3,2,3,2,3,3,2,3
8472,8655,799,799,875,884,2,1,3,2,2,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,1
10205,10278,817.8481077,855,868.4805294,913,2,1,1,2,2,2,3,2,2,3,2,2,1,1,1,2,2,3,1,2,1,3,1
10252,8472,796,871,885,926,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,1,2,1,2
8668,8586,875,854,934,905,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,2,2,1
10261,8654,818,796,882,861,2,1,1,2,1,3,2,2,1,2,1,3,1,2,2,2,3,2,2,2,3,2,3
8483,8658,836,724,890,806,3,1,3,2,3,3,3,2,3,2,3,3,1,3,2,3,3,2,2,3,2,3,2
9879,8659,775,836,840,890,2,1,2,2,3,3,2,2,3,2,3,2,1,3,2,3,3,2,2,2,3,2,2
8559,8528,795,819.5939669,872,868.0962077,3,1,3,2,3,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,1
8602,8455,903,759,964,820,3,1,2,1,2,3,3,1,1,3,2,3,1,3,2,3,3,3,2,3,2,3,2
8661,10267,839,819.5939669,900,868.0962077,1,1,1,1,2,2,3,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
8634,8394,783,932,862,973,1,1,1,1,2,2,3,2,2,1,2,2,1,1,1,2,2,3,1,3,1,3,3
8696,8633,894,806,961,848,2,1,1,1,3,2,3,1,2,3,2,2,1,2,2,3,3,2,1,2,3,2,2
8655,8650,877,801,941,868,2,1,2,2,2,2,3,2,2,3,2,2,1,3,2,2,3,2,2,2,2,2,2
9825,8456,865,896,945,960,3,1,2,2,2,3,3,2,2,3,2,2,1,1,1,1,2,2,1,1,3,2,3
10260,10194,805,889,865,923,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,2,3,2,3
8315,8302,855,806,931,855,1,1,1,1,3,2,3,1,2,2,2,2,1,2,2,2,3,2,2,1,2,2,2
9869,8305,803,819.5939669,867,841,1,1,2,2,2,2,3,1,2,1,2,3,1,2,2,2,2,3,2,3,2,2,2
9906,10205,861,844,920,909,2,1,1,1,2,2,3,1,2,1,3,2,1,1,1,2,2,3,1,3,3,2,2
10278,9865,802,785,866,811,2,1,2,2,2,2,3,2,3,3,1,2,1,1,2,2,2,3,2,2,3,2,1
9864,8371,815,819.5939669,868,864,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,2,2,3,2,2,3,2,2
8581,8558,788,770,861,827,2,1,2,2,3,2,3,2,3,3,2,1,1,1,2,2,2,3,2,1,3,2,2
9783,8560,763,783,830,875,2,1,1,1,2,2,3,2,2,1,2,1,1,1,2,1,2,2,2,2,3,2,2
8586,10260,817.8481077,882,868.4805294,936,3,1,2,2,2,3,2,1,2,3,2,3,1,2,2,2,2,2,2,2,3,2,2
8654,9825,873,807,954,882,2,1,1,1,1,2,2,1,1,3,2,2,1,1,2,1,3,2,2,1,2,1,2
10194,8668,847,795,905,870,2,1,2,2,2,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2
8456,8602,765,877,825,947,3,1,3,2,3,3,3,2,3,2,3,3,1,2,2,2,3,3,2,2,3,2,2
8455,8655,808,925,882,969,2,1,3,2,2,3,2,2,2,2,2,3,1,2,1,2,3,3,1,1,3,2,3
8528,9879,833,796,889,883,2,1,3,2,3,3,2,2,2,3,2,3,1,3,2,3,3,2,2,2,2,2,2
8394,10267,848,795,902,843,1,1,1,1,2,2,3,2,2,3,2,1,1,1,1,2,2,3,2,2,1,2,1
8302,8634,917,837,969,912,2,1,1,1,2,2,3,1,3,1,3,1,1,1,1,3,2,3,1,2,2,2,2
8633,10278,779,915,824,976,2,1,1,2,2,2,3,2,2,3,2,2,1,1,1,3,2,3,1,2,3,2,3
8658,10252,849,848,906,894,3,1,2,2,2,3,2,1,1,2,1,3,1,3,2,3,3,3,2,3,2,3,1
8472,10261,791,799,867,884,3,1,2,2,2,3,2,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,2
8650,8559,817.8481077,888,868.4805294,937,2,1,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,3
8305,8315,808,819.5939669,864,872,2,1,2,2,2,3,2,2,1,2,2,1,1,2,2,2,2,3,1,2,1,2,2
10205,9869,807,863,849,914,3,1,2,2,2,2,3,2,3,2,2,2,1,1,1,2,2,3,1,2,1,3,1
9865,9906,843,782,917,868,2,1,1,1,2,2,3,1,3,3,2,2,1,2,2,2,2,3,2,3,3,1,1
8371,8696,805,819,861,877,2,1,2,2,3,3,2,1,2,3,2,2,1,2,2,2,2,2,1,1,3,2,2
8560,9864,786,754,851,831,2,1,2,2,2,2,3,2,2,3,2,2,1,1,1,2,2,3,2,2,1,2,3
8558,9783,811,788,892,859,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,3,2,3,2,3,3,2,2
8659,8483,737,784,812,849,3,1,3,2,3,3,2,2,3,2,3,2,1,2,2,3,3,2,2,3,2,3,2
8581,8661,817.8481077,782,868.4805294,836,2,1,2,2,2,2,2,1,2,3,2,1,1,1,2,2,2,3,2,1,3,2,2
8602,10260,886,757,928,815,3,1,2,2,2,3,2,1,2,3,2,3,1,3,2,3,3,3,2,3,2,3,2
10194,8472,800,795,884,870,2,1,3,2,3,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2
8528,8655,808,801,882,861,2,1,3,2,2,3,2,2,2,2,2,3,1,3,2,3,3,2,2,2,2,2,2
10252,9879,833,849,889,899,2,1,3,2,3,3,2,2,2,3,2,3,1,2,2,2,3,2,1,1,2,1,1
8654,8658,842,830,892,886,3,1,3,2,3,3,3,2,3,2,3,2,1,1,2,1,3,2,2,1,2,1,1
8586,8559,817.8481077,871,868.4805294,932,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,2,2,2,2,3,2,2
8668,8483,730,857,808,906,3,1,3,2,3,3,2,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,1
8696,8560,763,812,829,869,2,1,1,1,2,2,3,2,2,1,2,2,1,2,2,3,3,2,1,2,3,2,2
9864,8558,774,782,861,827,2,1,2,2,3,2,3,2,3,3,2,2,1,2,2,2,2,3,2,2,3,2,2
10261,9825,863,804,954,873,2,1,1,1,1,2,2,1,1,3,2,3,1,2,2,2,3,2,2,2,3,2,3
8455,8650,873,909,932,957,2,1,2,2,2,2,3,2,2,3,2,3,1,2,1,2,3,3,1,1,3,2,2
8456,8659,817.8481077,882,868.4805294,952,2,1,2,2,3,3,2,2,3,2,3,3,1,2,2,2,3,3,2,2,3,2,3
8661,8394,786,769,850,842,1,1,1,1,2,2,3,2,2,1,2,2,1,2,2,2,2,2,1,2,3,2,2
8634,8305,809,941,870,981,1,1,2,2,2,2,3,1,2,1,2,2,1,1,1,2,2,3,1,3,1,3,3
8315,10205,848,804,910,864,2,1,1,1,2,2,3,1,2,1,3,2,1,2,2,2,3,2,2,1,2,2,2
9869,9865,802,819.5939669,866,846,2,1,2,2,2,2,3,2,3,3,1,3,1,2,2,2,2,3,2,3,2,2,1
9906,8633,899,850,970,911,2,1,1,1,3,2,3,1,2,3,2,2,1,1,1,2,2,3,1,3,3,2,2
10278,8371,815,772,868,826,2,1,2,2,2,2,2,1,1,3,2,2,1,1,2,2,2,3,2,2,3,2,2
9783,8581,773,802,834,886,1,1,1,2,2,2,3,2,1,3,2,1,1,1,2,1,2,2,2,2,3,2,3
10267,8302,848,856,918,919,1,1,1,1,3,2,3,1,2,2,2,1,1,1,1,2,2,3,2,2,3,2,2
8472,8586,871,817,930,888,3,1,2,2,2,2,2,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,1
8658,10194,804,838,867,883,2,1,3,2,3,3,2,2,2,2,2,3,1,3,2,3,3,3,2,3,2,3,2
8659,8654,820,791,873,862,2,1,1,2,1,3,2,2,1,2,1,2,1,2,2,3,3,2,2,3,2,3,1
9825,8602,764,890,830,956,3,1,3,2,3,3,3,2,3,2,3,2,1,1,1,1,2,2,1,1,3,2,3
8650,8528,790,887,862,926,3,1,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,1
8483,10252,839,819.5939669,899,868.0962077,3,1,2,2,2,3,2,1,1,2,1,3,1,3,2,3,3,2,2,3,2,3,2
